Collections,Sales,Buyers,Txns,Owners
My Pet Hooligan,"$38,912,069","8,403","14,690",
Alien Worlds,"$38,602,362","461,852","5,280,679","3,199,769"
inbetweeners,"$37,872,506","6,295","11,770",
Pixel Vault Founders DAO,"$37,491,851","1,998","2,768",
The CryptoDads,"$37,490,328","8,020","15,716","7,247"
Forgotten Runes,"$37,074,076","4,447","13,733","2,856"
TheHeartProject,"$37,073,867","11,001","22,487","5,884"
the littles NFT,"$36,929,134","8,711","17,079",
Farming Tales,"$36,310,600","9,729","161,852","5,326"
Blitmap,"$35,700,496",421,982,602
MURI,"$35,573,606","12,948","20,873",
GEN.ART,"$35,428,053","4,359","7,961",
Bored Bunny,"$35,325,379","7,971","12,276",
GENART,"$35,309,927","4,003","7,343","2,405"
SolPunks,"$34,934,926","7,029","16,191","4,650"
Smilesss,"$34,656,836","8,789","16,323",
Metasaurs by Dr. DMT,"$34,433,219","7,656","15,775","5,189"
Bloot,"$34,157,483","6,402","15,127","3,907"
MetaHero Universe DAO Tokens,"$33,558,310","7,085","18,609",1
Animetas,"$32,363,391","6,930","18,835","4,160"
More Than Gamers,"$32,148,544","14,718","24,245",
Tasty Bones,"$30,643,515","4,746","7,398",
Tom Sachs Rocket Factory,"$30,239,585",778,"2,674",265
ALPACADABRAZ,"$30,104,058","7,083","14,202","4,445"
Thug Birdz,"$30,058,667","3,411","6,752","2,249"
Creepz Shapeshifters,"$29,909,987","2,885","11,977",
Panini America,"$29,741,749","12,330","534,645","10,976"
Party Ape Billionaire Club,"$29,647,712","6,228","13,327","4,547"
OnChainMonkey,"$29,577,482","5,733","16,753",
Winter Bears,"$29,389,687","10,213","22,406","4,643"
Nifty League DEGENs,"$28,946,289","8,405","23,704",
CryptoJanky,"$28,781,881","8,417","16,235",
Portals,"$28,548,869","4,333","8,334","3,072"
SlimHoods,"$28,439,104","7,649","13,690",
Janky Heist,"$28,184,119","8,364","15,711","5,729"
WonderPals,"$27,789,062","13,156","18,341",
Antonym,"$25,996,920","9,810","15,639",
Meerkat Millionaires Country Club,"$25,996,843","6,703","12,788","4,549"
MoodRollers,"$25,882,689","5,577","10,168","2,812"
Slotie,"$25,845,878","5,035","11,338",
X Rabbits Club,"$25,692,781","3,741","8,459","3,278"
Edenhorde,"$25,684,838","4,428","11,531",
Galaxy Fight Club,"$25,110,416","4,874","16,825","2,614"
Reptile Armoury,"$24,688,761","3,448","12,268",
BugBears,"$24,506,185","8,113","19,494","6,310"
Bold Badgers,"$24,364,001","6,119","18,080","3,989"
Cool Monkes,"$23,818,819","7,311","16,557",
LinksDAO,"$23,794,270","8,089","11,761",
The Wicked Craniums,"$23,589,668","7,942","22,277","4,751"
MetaLegends,"$23,404,821","7,159","13,723",
Purrnelopes Country Club,"$23,239,936","2,476","9,017","3,336"
The Other Side,"$23,011,895","12,076","17,402",
Waves Ducks,"$22,926,543","1,695","16,549","1,350"
Frakt,"$22,905,510","4,566","12,815","1,251"
Cupcats Official,"$22,784,933","3,444","9,105","1,823"
Dour Darcels,"$22,461,882","7,945","17,407",
The Vogu Collective,"$22,363,362","4,529","11,627","2,839"
The Currency Palm,"$22,261,274",409,"3,504","5,496"
CatBloxGenesis,"$22,144,955","7,794","15,939",
Voxies,"$21,962,125","1,961","6,818","1,751"
Crypto Unicorns,"$21,629,313","2,536","9,431",
Stoner Cats,"$21,614,545","5,468","9,979","5,047"
Ethereum Name Service,"$21,463,645","7,047","12,565","319,916"
FoxFam,"$21,416,550","6,771","16,298","3,570"
Habbo Avatars,"$21,137,386","5,175","11,668","4,365"
Bastard Gan Punks V2,"$20,864,466","3,469","11,059","2,895"
Sipherian Surge,"$20,592,547","5,906","14,019","3,752"
FOMO MOFOS,"$20,586,841","6,059","12,091",
Space Punks Club,"$20,536,769","6,047","13,603","4,397"
Fishy Fam,"$20,458,037","8,758","15,185",
CryptoonGoonz,"$20,437,869","6,430","11,467","4,017"
Gods Unchained,"$20,280,001","3,575","386,405","15,255"
Deafbeef,"$20,248,370",98,142,112
DystoPunks V2,"$20,155,181","1,287","3,070",680
hic et nunc,"$20,066,792","43,611","1,182,182","32,510"
Solsteads,"$19,792,937","2,405","4,339","1,453"
Divine Anarchy,"$19,488,807","7,744","14,954",
Dippies,"$19,327,430","8,288","15,879",
FrankenPunks,"$19,109,894","7,352","12,986",
Quirkies,"$18,783,368","5,574","12,716",
